Number,Source.Url,Country,Region,Class,Project.Approval.Date,Project.Location,Project.Description,Goal.Project.Number,Objectives,Goal.Contribution,Fap.Contribution,Ma.Contribution,Other.Contribution,TotalBudget,Total.Paid,Fifa.points.2015,Fifa.rank.2015,Fifa.points.2000,Fifa.rank.2000,diff_rank,diff_points,id,Project.Approval.Year
p1,http://www.fifa.com/associations/association=afg/development-activities/goal/index.html,Afghanistan,ASIA (EX. NEAR EAST),Headquarters,26.10.2010,Kabul,Construction of the association’s headquarters. The project is part of a football complex that includes an artificial turf pitch and a technical centre,2,The objectives of this project are;-to deliver headquarters and administrative offices befitting a football association;-to improve the association’s training facilities;-to help the association to optimise the use of its headquarters,400000,175000,0,0,575000,504371,181,144,NA,NA,144,181,AFG,2010
p2,http://www.fifa.com/associations/association=afg/development-activities/goal/index.html,Afghanistan,ASIA (EX. NEAR EAST),Football pitch,01.05.2003,Kabul,Installation of a football turf pitch at the AFF complex in Kabul,1,The objective of this project is;-to support the league and enable matches to take place in an adequate environment,1000000,198887,0,0,1198887,1198887,181,144,NA,NA,144,181,AFG,2003
p3,http://www.fifa.com/associations/association=aia/development-activities/goal/index.html,Anguilla,LATIN AMER. & CARIB,Technical centre,28.02.2011,The Valley,"Completion of the work under Goal project I. This project includes: dormitories, a gymnasium, a cafeteria and classrooms",2,The objectives of this project are;- to reduce costs for the preparation of the national teams;- to facilitate the execution of the AFA elite programme,500000,0,0,0,500000,NA,2,208,32,198,-10,30,AIA,2011
p4,http://www.fifa.com/associations/association=aia/development-activities/goal/index.html,Anguilla,LATIN AMER. & CARIB,Headquarters,01.05.2003,The Valley,"Construction of the AFA headquarters and a technical centre. This project includes: a conference room, an international-size football pitch, changing rooms, spectator stands, media facilities and a medical clinic",1,The objectives of this project are;- to deliver headquarters and administrative offices befitting a football association;- to set up the technical development of clubs and national teams;- to organise international matches,400000,200000,0,53976,600000,653976,2,208,32,198,-10,30,AIA,2003
p5,http://www.fifa.com/associations/association=alb/development-activities/goal/index.html,Albania,EASTERN EUROPE,Other,26.10.2010,Tirana,Purchase of IT system and equipment for the headquarters,2,The objectives of this project are;- to improve and professionalise daily processes;- to establish a software system for the management of competitions,400000,0,95000,0,495000,337064,548,63,427,94,31,-121,ALB,2010
p6,http://www.fifa.com/associations/association=alb/development-activities/goal/index.html,Albania,EASTERN EUROPE,Technical centre,03.08.2000,Kamez,Construction of the technical centre. The project includes an artificial turf pitch,1,The objective of this project is;- to help the association to optimise the use of its technical centre,402000,662427,0,0,1064427,1064427,548,63,427,94,31,-121,ALB,2000
p7,http://www.fifa.com/associations/association=alg/development-activities/goal/index.html,Algeria,NORTHERN AFRICA,Headquarters,27.03.2012,Algiers,"Completion of the work initiated under Goal project I. The project includes: parking spaces, access roads and road works",2,The objectives of this project are;-to help the Algerian FA to optimise the use of its headquarters;-to deliver headquarters befitting a football association;-to complete and develop the previous project carried out by the association and FIFA,500000,3000,0,0,503000,502400,981,18,463,80,62,-518,DZA,2012
p8,http://www.fifa.com/associations/association=alg/development-activities/goal/index.html,Algeria,NORTHERN AFRICA,Headquarters,02.11.2002,Algiers,Construction of the association’s headquarters,1,The objective of this project is;-to deliver headquarters and administrative offices befitting a football association,400000,1659442,0,47110,2059442,2105897,981,18,463,80,62,-518,DZA,2002
p9,http://www.fifa.com/associations/association=and/development-activities/goal/index.html,Andorra,WESTERN EUROPE,Headquarters,27.03.2012,Andorra,Purchase of headquarters;for the association,2,The objectives of this project are;- to deliver headquarters and administrative offices befitting a football association;- to organise course and committee meetings;- to reduce costs,500000,0,1250000,0,1750000,500000,9,201,244,144,-57,235,AND,2012
p10,http://www.fifa.com/associations/association=and/development-activities/goal/index.html,Andorra,WESTERN EUROPE,Technical centre,07.11.2005,"Alas, Spain",Construction of a technical centre. The project includes an artificial turf pitch,1,The objective of this project is;- to enable the association to use the technical centre for the training of its youth teams,400000,0,200000,0,1000000,360000,9,201,244,144,-57,235,AND,2005
