Country,id,Region,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,TotalBudget,n
Afghanistan,AFG,ASIA (EX. NEAR EAST),,,,1198887,,,,,,,575000,,,,,1773887,2
Albania,ALB,EASTERN EUROPE,1064427,,,,,,,,,,495000,,,,,1559427,2
Algeria,DZA,NORTHERN AFRICA,,,2059442,,,,,,,,,,503000,,,2562442,2
American Samoa,ASM,OCEANIA,,,650000,,,,,,,800000,,,,,,1450000,3
Andorra,AND,WESTERN EUROPE,,,,,,1000000,,,,,,,1750000,,,2750000,2
Angola,AGO,SUB-SAHARAN AFRICA,,438835,,,,,,,,,,,,,,438835,1
Anguilla,AIA,LATIN AMER. & CARIB,,,,600000,,,,,,,,500000,,,,1100000,2
Antigua and Barbuda,ATG,LATIN AMER. & CARIB,471364,,,,,603098,,,,,400000,,,,,1474462,3
Argentina,ARG,LATIN AMER. & CARIB,,,,546652,,,933735,,,421434,,,,,,1901821,3
Armenia,ARM,C.W. OF IND. STATES,479994,,,,,400000,,,,,,4364767,,,,5244761,3
Aruba,ABW,LATIN AMER. & CARIB,,953799,,,,,,,,401247,,,,,500000,1855046,3
Australia,AUS,OCEANIA,,,,,,,,,,,,,500000,,,500000,1
Austria,AUT,WESTERN EUROPE,,,,,,,,,,,,1341443,,,,1341443,1
Azerbaijan,AZE,C.W. OF IND. STATES,,,,,,3927694,,,,,,,,411300,,4338994,3
Bahamas,BHS,LATIN AMER. & CARIB,,,,,1281746,,,,,,528062,,,,500000,2309808,4
Bahrain,BHR,NEAR EAST,,824200,,,1381867,,,932000,400000,,625000,,,600000,,4763067,6
Bangladesh,BGD,ASIA (EX. NEAR EAST),,496000,,,,494160,,,,,,,500000,,,1490160,3
Barbados,BRB,LATIN AMER. & CARIB,,,,,,,,,,995000,,601548,,,,1596548,2
Belarus,BLR,C.W. OF IND. STATES,,,399298,,,,,5154499,,,,,,,,5553797,2
Belgium,BEL,WESTERN EUROPE,,,,,,,,,,,,,2300000,,,2300000,1
Belize,BLZ,LATIN AMER. & CARIB,447858,,,,,,457040,,,,400000,,500000,,,1804898,4
Benin,BEN,SUB-SAHARAN AFRICA,,661497,,,,,406238,,,522619,,,,500000,,2090354,4
Bermuda,BMU,NORTHERN AMERICA,,,488884,,,,,,714086,800497,,,,,,2003467,4
Bhutan,BTN,ASIA (EX. NEAR EAST),,499941,,,,,400000,,,,400000,500000,,,,1799941,4
Bolivia,BOL,LATIN AMER. & CARIB,1630228,,,,,,,,418627,,,,,,,2048855,2
Bosnia and Herzegovina,BIH,EASTERN EUROPE,,64125,,,,,,,,,,435875,,,,500000,2
Botswana,BWA,SUB-SAHARAN AFRICA,,483000,,,,,,,,400000,,,548558,,,1431558,3
Brazil,BRA,LATIN AMER. & CARIB,,,,460157,,,400000,,400000,,,,,500000,,1760157,4
British Virgin Islands,VGB,LATIN AMER. & CARIB,,,,,,,,,,,,,,,500000,500000,1
Brunei Darussalam,BRN,ASIA (EX. NEAR EAST),,,,,,1593248,,,,,,,,1006157,,2599405,2
Bulgaria,BGR,EASTERN EUROPE,,,,397588,,,,,,,,,,,,397588,1
Burkina Faso,BFA,SUB-SAHARAN AFRICA,,419991,,,,,593140,,,421726,353982,,,546018,,2334857,5
Burundi,BDI,SUB-SAHARAN AFRICA,,,,,399116,,,450000,,525000,,,,,500000,1874116,4
Cambodia,KHM,ASIA (EX. NEAR EAST),440797,,,,,,415932,,,,420773,500000,,,500000,2277502,5
Cameroon,CMR,SUB-SAHARAN AFRICA,,,,,872810,,,,621000,400910,,,,,,1894720,3
Canada,CAN,NORTHERN AMERICA,,,,399729,,,575000,,,400000,,,,,,1374729,3
Cape Verde Islands,CPV,SUB-SAHARAN AFRICA,,871233,,,400000,,,1100000,,,,,,,500000,2871233,4
Cayman Islands,CYM,LATIN AMER. & CARIB,,,450000,,,,,,412000,406000,,508782,,,500000,2276782,5
Central African Republic,CAF,SUB-SAHARAN AFRICA,909000,,,,,420097,,,,400000,,500000,,,,2229097,4
Chad,TCD,SUB-SAHARAN AFRICA,,,449181,,,,399916,,,,400000,,,500000,,1749097,4
Chile,CHL,LATIN AMER. & CARIB,,,,559401,,,1096982,,,500000,1100000,,,500000,,3756383,5
China PR,CHN,ASIA (EX. NEAR EAST),,,1355000,,,,,,400000,1222500,,,,,,2977500,4
Colombia,COL,LATIN AMER. & CARIB,,,,1120000,,,,,,,,,500000,500000,,2120000,3
Comoros,COM,SUB-SAHARAN AFRICA,,,,,,398920,,516637,,400000,,500000,,,500000,2315557,5
Congo,COG,SUB-SAHARAN AFRICA,,470331,,,,,400000,,,,,,,,,870331,2
Congo DR,COD,SUB-SAHARAN AFRICA,,,576853,,,398979,,,423451,,400000,1000000,,,,2799283,6
Cook Islands,COK,OCEANIA,,643000,,,,444054,,,399250,,400000,,502609,,,2388913,5
Costa Rica,CRI,LATIN AMER. & CARIB,,1850000,,,,,,466000,,463500,400000,500000,,,,3679500,5
Cote d'Ivoire,CIV,SUB-SAHARAN AFRICA,,,400000,,,,400000,,,400000,400000,,575000,,,2175000,5
Croatia,HRV,EASTERN EUROPE,,,,,,,,847000,,,,,,,,847000,2
Cuba,CUB,LATIN AMER. & CARIB,,400000,,,400000,,,,,,800000,,,,,1600000,4
Curacao,CUW,LATIN AMER. & CARIB,,,400000,,,,400000,,,545500,,636728,,,,1982228,4
Cyprus,CYP,NEAR EAST,,,,3325000,,,,,400000,,,,,,,3725000,2
Czech Republic,CZE,EASTERN EUROPE,,,,,2150000,,,,,3050000,,,,,,5200000,2
Denmark,DNK,WESTERN EUROPE,,,,,,883830,,,398600,,,5800000,,,,7082430,3
Djibouti,DJI,SUB-SAHARAN AFRICA,584433,,,,,,585000,,421752,,400000,,,500000,,2491185,5
Dominica,DMA,LATIN AMER. & CARIB,,415677,,,,,400000,,,,,524418,,,,1340095,3
Dominican Republic,DOM,LATIN AMER. & CARIB,,430922,,,,,709674,,,,400000,,500000,,500000,2540596,5
Ecuador,ECU,LATIN AMER. & CARIB,979008,,,,,3016000,,,,,450000,600000,,,500000,5545008,5
Egypt,EGY,NORTHERN AFRICA,,,,874908,,,,850000,,,,,,678998,,2403906,3
El Salvador,SLV,LATIN AMER. & CARIB,,552838,,,,,,,,400000,,500000,500000,,,1952838,4
England,GBR,WESTERN EUROPE,,,,400000,,,,,,,,5437789,7500000,,,13337789,3
Equatorial Guinea,GNQ,SUB-SAHARAN AFRICA,,,568022,,,,430000,,,,402700,,,,,1400722,3
Eritrea,ERI,SUB-SAHARAN AFRICA,,,399975,,,,400246,,,,600000,,,531813,,1932034,4
Estonia,EST,BALTICS,,,,,,,1030720,,,,400000,,,755050,,2185770,4
Ethiopia,ETH,SUB-SAHARAN AFRICA,,,,,,,,,,799081,400000,,500000,,,1699081,3
Faroe Islands,FRO,WESTERN EUROPE,2041000,,,,,,,,,,400000,,,840000,,3281000,3
Fiji,FJI,OCEANIA,,552550,,,,680000,,,,,,506260,,,,1738810,3
Finland,FIN,WESTERN EUROPE,,,,182000,,,,,,400000,,,,,500000,1082000,3
France,FRA,WESTERN EUROPE,,,,400000,,,,,,,,,,,,400000,1
FYR Macedonia,MKD,EASTERN EUROPE,,,400000,,,,,,,,,500000,,,500000,1400000,3
Gabon,GAB,SUB-SAHARAN AFRICA,,,700000,,,,,,400000,,400000,,,,,1500000,3
Gambia,GMB,SUB-SAHARAN AFRICA,,,499925,,,,399763,,,,500000,,,,500000,1899688,4
Georgia,GEO,C.W. OF IND. STATES,,900000,,,,398500,,,401500,,,,,,,1700000,3
Germany,DEU,WESTERN EUROPE,,,,,,,,,,1400000,,,,,,1400000,1
Ghana,GHA,SUB-SAHARAN AFRICA,,,574000,,,500000,,,,450500,403785,,688860,,,2617145,5
Greece,GRC,WESTERN EUROPE,,,,370000,,,,,,800000,,,,,,1170000,3
Grenada,GRD,LATIN AMER. & CARIB,,406550,,,,,,,,,,,500000,,,906550,2
Guam,GUM,OCEANIA,,,558010,,,576500,,,,750000,,749990,500000,,,3134500,5
Guatemala,GTM,LATIN AMER. & CARIB,,,,,,,1049920,,,,400000,,501256,,,1951176,4
Guinea,GIN,SUB-SAHARAN AFRICA,584737,,,,,,,,,,,,500000,,500000,1584737,3
Guinea-Bissau,GNB,SUB-SAHARAN AFRICA,,400000,,,,,,400000,,402000,,500000,,,,1702000,4
Guyana,GUY,LATIN AMER. & CARIB,,,,,,,400000,,,,,,,,,400000,1
Haiti,HTI,LATIN AMER. & CARIB,547883,,,,,,429901,,370099,,,,500000,,,1847883,4
Honduras,HND,LATIN AMER. & CARIB,,400000,,,,,400000,,,,400000,,,500000,,1700000,4
Hong Kong,HKG,ASIA (EX. NEAR EAST),,,,806923,,,,,,,,,,508041,,1314964,2
